"問題番号","問題内容","選択肢ア","選択肢イ","選択肢ウ","選択肢エ"
"問12","bour 2 進数 $x_1 x_2$ が表す整数を $x$ とする。 2 進数 $x_2 x_1$ が表す整数を, $x$ の式で表したものはどれか。ここで，int(r) は非負の実数 $\mathrm{r}$ の小数点以下を切り捨てた整数を表す。","$2 x+4 \text{int}\left(\frac{x}{2}\right)$","$2 x+5 \text{int}\left(\frac{x}{2}\right)$","$2 x-3 \text{int}\left(\frac{x}{2}\right)$","$2 x-4 \text{int}\left(\frac{x}{2}\right)$"
"問2","複数の変数をもつデータに対する分析手法の記述のうち, 主成分分析はどれか。","変数に共通して影響を与える新たな変数を計算して, データの背後にある構造を取得する方法","変数の値からほかの変数の値を予測して, データがもつ変数間の関連性を確認する方法","変数の値が互いに類似するものを集めることによって, データを分類する方法","変数を結合した新たな変数を使用して, データがもつ変数の数を減らす方法"
"問3","逆ポーランド表記法（後置記法）で表現されている式 ABCD-メナにおいて，$\mathrm{A}=16, \mathrm{~B}=8, \mathrm{C}=4, \mathrm{D}=2$ のときの演算結果はどれか。逆ポーランド表記法による式 $\mathrm{AB}+$ は, 中置記法による式 $\mathrm{A}+\mathrm{B}$ と同一である。","32","46","48","94"
"問4","図のように 16 ビットのデータを $4 \times 4$ の正方形状に並べ, 行と列にパリティビットを付加することによって何ビットまでの限りを託正できるか。ここで, 図の絴拌け部分はパリティビットを表す。","1","2","3","4"
"問5","双方向リストを三つの一次元配列 elem[i], next[i], prev[i]の組で実現する。双方向リストが図の状態のとき, 要素 D の次に要素 C を挿入した後の next[6], prev[6]の値の組合せはどれか。ここで, 双方向リストは次のように表現する。","2,3","3,4","5,3","5,4"
"問6","あるデータ列を整列したら状態 0 から順に状態 $1,2, \cdots, N$ へと推移した。整列に使ったアルゴリズムはどれか。状態 $0: 3,5,9,6,1,2$、状態 $1: 3,5,6,1,2,9$、状態 $2: 3,5,1,2,6,9$、状態 $N: 1,2,3,5,6,9$。","クイックソート","インサートソート","バブルソート","ヒープソート"
"問7","JavaScript のオブジエクトの表記法なとを基にして規定したものであって, “名前と値との組みの集まり”と“値の順序付きリスト”の二つの構造に基づいてオブジエクトを表現する，データ記述の仕様はどれか。","DOM","JSON","SOAP","XML"
"問8","スマートフォンなどで高い処理性能と低消費電力の両立のために, 異なる目的に適した複数の種類のコアを搭載したプロセッサはどれか。","スーパースカラプロセッサ","シングルコアプロセッサ","ヘテロジニアスマルチコアプロセッサ","ホモジニアスマルチコアプロセッサ"
"問9","バイプラインの性能を向上させるための技法の一つで, 分岐条件の結果が決定する前に, 分岐先を予測して命令を実行するものはどれか。","アウトオブオーダー実行","遅延分岐","投機実行","レジスタリネーミング"
"問10","ファイルシステムをフラッシュメモリで構成するとき, プロックごとの書き換え回数を管理することによって，フラッシュメモリの寿命を延ばす技術はどれか。","ウエアレベリング","ジャーナリング","デフラグ","ライトアンプリフィケーション"
